CNC,Centene Corporation,Healthcare,Healthcare Plans,http://www.centene.com
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities—Regulated Gas,http://www.centerpointenergy.com
COF,Capital One Financial Corporation,Financial Services,Credit Services,http://www.capitalone.com
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,http://www.cabotog.com
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,http://www.coopercos.com
COP,ConocoPhillips,Energy,Oil & Gas E&P,http://www.conocophillips.com
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,http://www.costco.com
COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,http://www.coty.com
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,http://www.campbellsoupcompany.com
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,http://www.copart.com
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,http://www.cisco.com
CSX,CSX Corporation,Industrials,Railroads,http://www.csx.com
CTAS,Cintas Corporation,Industrials,Specialty Business Services,http://www.cintas.com
CTL,"CenturyLink, Inc.",Communication Services,Telecom Services,http://www.centurylink.com
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,http://www.cognizant.com
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,http://www.corteva.com
CTXS,"Citrix Systems, Inc.",Technology,Software—Application,http://www.citrix.com
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,http://www.cvshealth.com
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,http://www.chevron.com
CXO,Concho Resources Inc.,Energy,Oil & Gas E&P,http://www.concho.com
D,"Dominion Energy, Inc.",Utilities,Utilities—Diversified,http://www.dominionenergy.com
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,http://www.delta.com
DD,"DuPont de Nemours, Inc.",Basic Materials,Chemicals,http://www.dupont.com
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,http://www.deere.com
DFS,Discover Financial Services,Financial Services,Credit Services,http://www.discover.com
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,http://www.dollargeneral.com
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,http://www.questdiagnostics.com
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,http://www.drhorton.com
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,http://www.danaher.com
DIS,The Walt Disney Company,Communication Services,Entertainment,http://www.thewaltdisneycompany.com
DISCA,"Discovery, Inc.",Communication Services,Entertainment,http://corporate.discovery.com
DISCK,"Discovery, Inc.",Communication Services,Entertainment,http://corporate.discovery.com
DISH,DISH Network Corporation,Communication Services,Entertainment,http://www.dish.com
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT—Office,http://www.digitalrealty.com
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,http://www.dollartree.com
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,http://www.dovercorporation.com
DOW,Dow Inc.,Basic Materials,Chemicals,http://www.dow.com
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,http://www.dominos.com/index.intl.html
